 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
1,434.258,436.771,435.513,440.556,440.873,435.730,437.471
2,434.279,436.306,434.837,440.173,440.540,435.740,437.791
3,434.399,435.487,434.356,440.078,440.245,435.742,438.179
4,434.566,434.686,434.374,440.156,439.910,435.756,438.609
5,434.689,434.349,434.714,440.259,439.414,435.752,438.981
6,434.668,434.608,434.927,440.168,438.822,435.678,439.290
7,434.461,435.091,434.808,439.889,438.449,435.647,439.495
8,434.136,435.374,434.511,439.659,438.495,435.754,439.480
9,433.829,435.381,434.233,439.666,438.832,436.108,439.172
10,433.681,435.229,434.152,439.909,439.246,436.433,438.835
11,433.591,434.866,434.022,440.233,439.398,436.369,438.643
12,433.578,434.305,433.924,440.491,439.427,435.841,438.662
13,433.612,433.741,433.907,440.510,439.347,435.238,438.701
14,433.748,433.502,434.014,440.343,439.052,435.011,438.580
15,433.967,433.537,434.118,440.062,438.708,435.083,438.482
16,434.145,433.724,434.190,439.776,438.571,435.143,438.538
17,434.374,433.947,434.228,439.619,438.631,435.202,438.644
18,434.567,434.094,434.185,439.646,438.730,435.341,438.757
19,434.699,433.985,434.088,439.831,438.632,435.542,438.841
20,434.626,433.815,434.039,439.994,438.287,435.706,438.906
21,434.378,433.885,434.082,440.066,437.994,435.768,438.796
22,434.175,434.286,434.144,440.103,437.908,435.811,438.558
23,434.167,434.742,434.303,440.184,438.127,435.862,438.418
24,434.365,435.055,434.538,440.314,438.428,435.974,438.536
25,434.789,435.063,434.742,440.234,438.668,436.050,438.906
26,435.235,434.741,434.725,439.970,438.704,435.971,439.379
27,435.414,434.211,434.466,439.722,438.601,435.768,439.697
28,435.181,433.752,434.211,439.742,438.600,435.650,439.658
29,434.687,433.516,434.278,440.030,438.774,435.690,439.309
30,434.367,433.447,434.613,440.252,438.972,435.834,439.046
31,434.502,433.592,434.968,440.157,439.165,436.094,439.084
32,434.975,433.941,435.050,439.791,439.459,436.456,439.141
33,435.396,434.335,434.797,439.348,439.667,436.744,438.927
34,435.457,434.453,434.536,439.178,439.417,436.811,438.536
35,435.089,434.250,434.621,439.309,438.927,436.683,438.327
36,434.774,433.943,434.968,439.457,438.613,436.643,438.301
37,434.786,433.649,435.211,439.511,438.713,436.788,438.220
38,435.087,433.436,435.100,439.565,438.960,437.039,438.097
39,435.331,433.251,434.808,439.603,439.040,437.077,438.157
40,435.379,433.228,434.509,439.609,438.874,436.802,438.383
41,435.315,433.509,434.289,439.588,438.688,436.307,438.650
42,435.289,434.156,434.255,439.707,438.800,435.933,438.787
43,435.246,434.724,434.457,439.893,439.016,435.898,438.756
44,435.064,434.949,434.701,440.058,438.995,436.138,438.656
45,434.720,434.909,434.762,440.001,438.772,436.392,438.590
46,434.196,434.917,434.598,439.750,438.680,436.462,438.649
47,433.862,435.087,434.404,439.482,438.863,436.253,438.742
48,433.876,435.325,434.312,439.371,439.277,435.945,438.747
49,434.185,435.539,434.252,439.370,439.591,435.805,438.722
50,434.545,435.641,434.094,439.298,439.665,435.999,438.684
51,434.768,435.690,433.913,439.211,439.559,436.328,438.600
52,434.628,435.613,433.884,439.263,439.481,436.555,438.351
53,434.093,435.444,433.961,439.387,439.544,436.548,437.964
54,433.539,435.135,433.923,439.452,439.614,436.543,437.671
55,433.192,434.790,433.833,439.536,439.484,436.549,437.684
56,433.111,434.549,433.864,439.770,439.215,436.530,437.962
57,433.346,434.501,434.036,439.996,439.028,436.357,438.312
58,433.731,434.557,434.131,440.065,439.091,435.983,438.767
59,434.040,434.589,433.968,440.198,439.448,435.621,439.324
60,434.127,434.462,433.682,440.501,439.842,435.388,439.882
61,434.095,434.319,433.573,440.799,439.894,435.411,440.194
62,433.968,434.295,433.719,440.730,439.517,435.570,440.129
63,433.918,434.396,433.942,440.214,439.089,435.801,439.692
64,433.993,434.685,434.109,439.683,438.927,436.052,439.183
65,434.297,435.053,434.149,439.389,439.036,436.221,438.892
66,434.573,435.242,433.882,439.292,439.140,436.177,438.949
67,434.701,435.141,433.432,439.279,439.133,436.115,439.251
68,434.694,434.968,433.191,439.390,438.964,436.227,439.497
69,434.643,434.948,433.393,439.478,438.773,436.456,439.421
70,434.634,434.986,433.855,439.501,438.632,436.482,439.074
71,434.735,434.946,434.243,439.368,438.555,436.113,438.657
72,434.882,434.785,434.348,439.215,438.476,435.750,438.446
73,434.820,434.629,434.221,439.088,438.500,435.736,438.702
74,434.454,434.623,434.041,439.107,438.564,435.974,439.188
75,434.076,434.666,434.077,439.342,438.635,435.968,439.469
76,434.077,434.582,434.272,439.553,438.598,435.741,439.436
77,434.500,434.476,434.386,439.528,438.566,435.602,439.147
78,434.898,434.556,434.269,439.248,438.755,435.666,438.830
79,434.960,434.766,434.180,439.080,439.127,435.863,438.703
80,434.781,434.747,434.248,439.267,439.420,435.941,438.753
81,434.671,434.499,434.403,439.725,439.448,435.962,438.772
