 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,694.79,699.30,698.74,661.68,665.07,698.99,696.13,696.64,701.14,726.63,725.67,733.01,699.00,701.01,691.48,684.22,692.08,666.97,691.00,671.88,688.04,680.27,694.79
2,695.94,699.70,698.02,663.63,663.26,700.62,695.80,696.61,702.97,726.49,721.80,732.64,698.14,701.49,688.80,687.22,691.41,667.21,690.68,670.77,686.66,681.25,695.94
3,696.39,699.73,697.07,664.65,660.86,700.58,694.56,696.07,705.51,726.34,718.59,733.15,699.07,701.38,687.52,688.48,691.57,667.86,690.55,670.44,685.11,682.83,696.39
4,695.68,699.49,697.34,663.64,659.56,699.26,694.31,695.96,707.48,726.15,718.13,733.63,700.42,700.56,686.98,687.80,691.93,668.05,690.61,670.14,683.71,684.62,695.68
5,694.00,698.91,698.05,662.33,658.61,698.24,693.77,696.48,707.69,725.99,717.82,733.53,699.86,699.77,688.36,686.83,692.42,667.98,690.14,670.57,682.85,684.97,694.00
6,692.12,698.49,698.05,662.36,658.53,697.20,692.29,696.09,706.24,726.49,717.08,732.64,698.12,699.99,689.98,686.18,692.53,667.51,688.25,671.57,682.84,683.83,692.12
7,691.31,698.16,697.47,662.80,660.29,695.63,691.90,695.46,704.11,726.07,716.96,731.17,698.21,700.62,689.70,685.98,692.52,667.34,685.77,671.89,683.05,683.13,691.31
8,692.54,698.02,697.10,662.08,662.20,695.22,691.95,694.37,702.69,725.29,717.60,730.87,700.72,700.95,689.04,686.42,693.14,668.63,685.11,672.73,684.11,682.72,692.54
9,694.42,696.96,696.07,660.97,663.78,696.04,692.15,693.02,702.61,725.28,718.11,730.71,704.24,700.53,687.91,687.16,693.81,670.65,686.52,673.18,685.43,682.78,694.42
10,695.51,694.47,694.91,660.11,665.06,696.89,692.66,692.74,702.71,725.05,718.80,730.47,708.54,698.98,686.31,688.64,694.42,671.82,687.93,672.38,685.32,683.76,695.51
